Wall time,Step,Value
1718051758.9381096,0,0.4420243501663208
1718051831.2239838,1,0.1670413762331009
1718051904.0544205,2,0.11434262990951538
1718051976.2642963,3,0.09840285032987595
1718052048.7113721,4,0.0840863361954689
1718052117.8825188,5,0.08046257495880127
1718052186.2304873,6,0.07432951033115387
1718052256.564733,7,0.06823527067899704
1718052324.1952145,8,0.06455052644014359
1718052394.2612681,9,0.05002771317958832
